target,position,layer,top1_first_digit,top1_shuffled
s2,dot_6,7,0.109,0.136
answer,dot_6,8,0.127,0.104
s1,dot_6,8,0.07,0.088
s2,dot_6,8,0.109,0.116
answer,dot_6,9,0.149,0.118
s1,dot_6,9,0.077,0.081
s2,dot_6,9,0.134,0.126
answer,dot_6,10,0.125,0.114
s1,dot_6,10,0.097,0.107
s2,dot_6,10,0.112,0.104
answer,dot_6,11,0.122,0.121
s1,dot_6,11,0.078,0.1
s2,dot_6,11,0.119,0.118
answer,dot_6,12,0.085,0.098
s1,dot_6,12,0.125,0.102
s2,dot_6,12,0.09,0.088
answer,dot_6,13,0.118,0.126
s1,dot_6,13,0.111,0.095
s2,dot_6,13,0.111,0.113
answer,dot_6,14,0.108,0.11
s1,dot_6,14,0.086,0.087
s2,dot_6,14,0.11,0.117
answer,dot_6,15,0.121,0.11
s1,dot_6,15,0.095,0.084
s2,dot_6,15,0.134,0.12
answer,dot_6,16,0.11,0.115
s1,dot_6,16,0.082,0.072
s2,dot_6,16,0.14,0.109
answer,dot_6,17,0.111,0.136
s1,dot_6,17,0.096,0.074
s2,dot_6,17,0.137,0.141
answer,dot_6,18,0.106,0.13
s1,dot_6,18,0.113,0.094
s2,dot_6,18,0.114,0.112
answer,dot_6,19,0.102,0.122
s1,dot_6,19,0.105,0.071
s2,dot_6,19,0.091,0.102
answer,dot_6,20,0.103,0.114
s1,dot_6,20,0.111,0.082
s2,dot_6,20,0.103,0.108
answer,dot_6,21,0.108,0.108
s1,dot_6,21,0.127,0.075
s2,dot_6,21,0.106,0.126
answer,dot_6,22,0.11,0.102
s1,dot_6,22,0.109,0.069
s2,dot_6,22,0.102,0.132
answer,dot_6,23,0.109,0.118
s1,dot_6,23,0.137,0.095
s2,dot_6,23,0.097,0.12
answer,dot_6,24,0.113,0.118
s1,dot_6,24,0.077,0.09
s2,dot_6,24,0.147,0.146
answer,dot_6,25,0.111,0.102
s1,dot_6,25,0.075,0.101
s2,dot_6,25,0.12,0.107
answer,dot_6,26,0.088,0.101
s1,dot_6,26,0.064,0.089
s2,dot_6,26,0.101,0.109
answer,dot_6,27,0.073,0.114
s1,dot_6,27,0.082,0.109
s2,dot_6,27,0.094,0.124
answer,dot_6,28,0.06,0.078
s1,dot_6,28,0.064,0.086
s2,dot_6,28,0.078,0.105
answer,dot_7,0,0.029,0.029
s1,dot_7,0,0.105,0.105
s2,dot_7,0,0.003,0.003
answer,dot_7,1,0.084,0.091
s1,dot_7,1,0.106,0.096
s2,dot_7,1,0.084,0.095
answer,dot_7,2,0.111,0.093
s1,dot_7,2,0.11,0.085
s2,dot_7,2,0.096,0.12
answer,dot_7,3,0.113,0.139
s1,dot_7,3,0.081,0.093
s2,dot_7,3,0.125,0.155
answer,dot_7,4,0.13,0.144
s1,dot_7,4,0.079,0.063
s2,dot_7,4,0.128,0.181
answer,dot_7,5,0.105,0.137
s1,dot_7,5,0.081,0.088
s2,dot_7,5,0.1,0.127
answer,dot_7,6,0.096,0.12
s1,dot_7,6,0.088,0.072
s2,dot_7,6,0.105,0.113
answer,dot_7,7,0.097,0.109
s1,dot_7,7,0.088,0.08
s2,dot_7,7,0.085,0.12
answer,dot_7,8,0.101,0.104
s1,dot_7,8,0.101,0.079
s2,dot_7,8,0.098,0.112
answer,dot_7,9,0.109,0.107
s1,dot_7,9,0.082,0.086
s2,dot_7,9,0.101,0.112
answer,dot_7,10,0.124,0.121
s1,dot_7,10,0.118,0.078
s2,dot_7,10,0.119,0.107
answer,dot_7,11,0.146,0.15
s1,dot_7,11,0.086,0.087
s2,dot_7,11,0.171,0.144
answer,dot_7,12,0.122,0.113
s1,dot_7,12,0.105,0.091
s2,dot_7,12,0.127,0.106
answer,dot_7,13,0.105,0.086
s1,dot_7,13,0.149,0.108
s2,dot_7,13,0.093,0.085
answer,dot_7,14,0.085,0.083
s1,dot_7,14,0.114,0.093
s2,dot_7,14,0.077,0.071
answer,dot_7,15,0.072,0.074
s1,dot_7,15,0.087,0.099
s2,dot_7,15,0.075,0.07
answer,dot_7,16,0.083,0.087
s1,dot_7,16,0.072,0.075
s2,dot_7,16,0.097,0.084
answer,dot_7,17,0.079,0.085
s1,dot_7,17,0.082,0.076
s2,dot_7,17,0.097,0.082
answer,dot_7,18,0.078,0.095
s1,dot_7,18,0.08,0.092
s2,dot_7,18,0.078,0.082
answer,dot_7,19,0.076,0.081
s1,dot_7,19,0.091,0.067
s2,dot_7,19,0.071,0.08
answer,dot_7,20,0.102,0.101
s1,dot_7,20,0.083,0.072
s2,dot_7,20,0.085,0.096
answer,dot_7,21,0.094,0.085
s1,dot_7,21,0.098,0.074
s2,dot_7,21,0.081,0.093
answer,dot_7,22,0.113,0.091
s1,dot_7,22,0.104,0.07
s2,dot_7,22,0.086,0.106
answer,dot_7,23,0.095,0.086
s1,dot_7,23,0.107,0.087
s2,dot_7,23,0.076,0.091
answer,dot_7,24,0.084,0.081
s1,dot_7,24,0.062,0.09
s2,dot_7,24,0.073,0.077
answer,dot_7,25,0.097,0.071
s1,dot_7,25,0.09,0.105
s2,dot_7,25,0.092,0.079
answer,dot_7,26,0.077,0.079
s1,dot_7,26,0.079,0.114
