target,position,layer,top1_first_digit,top1_shuffled
c1x,dot_2,10,0.124,0.099
y,dot_2,10,0.103,0.125
c2y,dot_2,10,0.107,0.104
answer,dot_2,11,0.093,0.08
x,dot_2,11,0.1,0.112
c1x,dot_2,11,0.115,0.104
y,dot_2,11,0.097,0.112
c2y,dot_2,11,0.098,0.081
answer,dot_2,12,0.096,0.08
x,dot_2,12,0.093,0.121
c1x,dot_2,12,0.145,0.139
y,dot_2,12,0.114,0.129
c2y,dot_2,12,0.1,0.095
answer,dot_2,13,0.089,0.099
x,dot_2,13,0.104,0.109
c1x,dot_2,13,0.158,0.128
y,dot_2,13,0.142,0.142
c2y,dot_2,13,0.091,0.109
answer,dot_2,14,0.106,0.08
x,dot_2,14,0.105,0.094
c1x,dot_2,14,0.107,0.095
y,dot_2,14,0.094,0.092
c2y,dot_2,14,0.107,0.11
answer,dot_2,15,0.084,0.067
x,dot_2,15,0.12,0.094
c1x,dot_2,15,0.099,0.1
y,dot_2,15,0.093,0.08
c2y,dot_2,15,0.099,0.097
answer,dot_2,16,0.111,0.08
x,dot_2,16,0.125,0.104
c1x,dot_2,16,0.109,0.102
y,dot_2,16,0.097,0.093
c2y,dot_2,16,0.12,0.095
answer,dot_2,17,0.109,0.097
x,dot_2,17,0.114,0.098
c1x,dot_2,17,0.097,0.102
y,dot_2,17,0.094,0.098
c2y,dot_2,17,0.116,0.121
answer,dot_2,18,0.092,0.104
x,dot_2,18,0.109,0.094
c1x,dot_2,18,0.082,0.085
y,dot_2,18,0.085,0.084
c2y,dot_2,18,0.098,0.097
answer,dot_2,19,0.089,0.081
x,dot_2,19,0.09,0.077
c1x,dot_2,19,0.123,0.088
y,dot_2,19,0.116,0.096
c2y,dot_2,19,0.09,0.101
answer,dot_2,20,0.097,0.1
x,dot_2,20,0.106,0.107
c1x,dot_2,20,0.126,0.09
y,dot_2,20,0.115,0.108
c2y,dot_2,20,0.11,0.112
answer,dot_2,21,0.107,0.101
x,dot_2,21,0.094,0.104
c1x,dot_2,21,0.2,0.166
y,dot_2,21,0.183,0.168
c2y,dot_2,21,0.1,0.124
answer,dot_2,22,0.097,0.084
x,dot_2,22,0.09,0.102
c1x,dot_2,22,0.149,0.142
y,dot_2,22,0.139,0.138
c2y,dot_2,22,0.089,0.091
answer,dot_2,23,0.079,0.088
x,dot_2,23,0.119,0.076
c1x,dot_2,23,0.125,0.12
y,dot_2,23,0.126,0.132
c2y,dot_2,23,0.081,0.075
answer,dot_2,24,0.092,0.087
x,dot_2,24,0.124,0.093
c1x,dot_2,24,0.113,0.108
y,dot_2,24,0.129,0.099
c2y,dot_2,24,0.089,0.099
answer,dot_2,25,0.078,0.068
x,dot_2,25,0.108,0.085
c1x,dot_2,25,0.095,0.084
y,dot_2,25,0.085,0.094
c2y,dot_2,25,0.082,0.086
answer,dot_2,26,0.086,0.095
x,dot_2,26,0.119,0.101
c1x,dot_2,26,0.086,0.085
y,dot_2,26,0.082,0.103
c2y,dot_2,26,0.087,0.109
answer,dot_2,27,0.096,0.102
x,dot_2,27,0.138,0.101
c1x,dot_2,27,0.106,0.128
y,dot_2,27,0.109,0.119
c2y,dot_2,27,0.096,0.112
answer,dot_2,28,0.112,0.099
x,dot_2,28,0.098,0.099
c1x,dot_2,28,0.119,0.12
y,dot_2,28,0.12,0.143
c2y,dot_2,28,0.106,0.123
answer,dot_3,0,0.195,0.195
x,dot_3,0,0.127,0.127
c1x,dot_3,0,0.045,0.045
y,dot_3,0,0.048,0.048
c2y,dot_3,0,0.188,0.188
answer,dot_3,1,0.103,0.11
x,dot_3,1,0.084,0.089
c1x,dot_3,1,0.109,0.101
y,dot_3,1,0.122,0.111
c2y,dot_3,1,0.086,0.102
answer,dot_3,2,0.091,0.109
x,dot_3,2,0.093,0.081
c1x,dot_3,2,0.147,0.139
y,dot_3,2,0.137,0.143
c2y,dot_3,2,0.089,0.11
answer,dot_3,3,0.09,0.108
x,dot_3,3,0.086,0.088
c1x,dot_3,3,0.149,0.134
y,dot_3,3,0.146,0.138
c2y,dot_3,3,0.084,0.108
answer,dot_3,4,0.102,0.102
x,dot_3,4,0.11,0.092
c1x,dot_3,4,0.133,0.12
y,dot_3,4,0.129,0.129
c2y,dot_3,4,0.098,0.111
answer,dot_3,5,0.111,0.091
x,dot_3,5,0.095,0.095
c1x,dot_3,5,0.143,0.143
y,dot_3,5,0.129,0.145
c2y,dot_3,5,0.109,0.091
answer,dot_3,6,0.111,0.087
x,dot_3,6,0.099,0.091
c1x,dot_3,6,0.114,0.13
y,dot_3,6,0.105,0.128
c2y,dot_3,6,0.109,0.095
answer,dot_3,7,0.115,0.094
x,dot_3,7,0.1,0.086
c1x,dot_3,7,0.107,0.123
y,dot_3,7,0.106,0.121
c2y,dot_3,7,0.111,0.105
answer,dot_3,8,0.092,0.091
x,dot_3,8,0.092,0.094
c1x,dot_3,8,0.091,0.094
y,dot_3,8,0.087,0.102
c2y,dot_3,8,0.088,0.095
answer,dot_3,9,0.091,0.089
x,dot_3,9,0.126,0.081
c1x,dot_3,9,0.07,0.083
y,dot_3,9,0.07,0.087
c2y,dot_3,9,0.1,0.1
answer,dot_3,10,0.093,0.093
x,dot_3,10,0.099,0.078
c1x,dot_3,10,0.082,0.095
y,dot_3,10,0.086,0.088
c2y,dot_3,10,0.092,0.098
answer,dot_3,11,0.104,0.09
x,dot_3,11,0.108,0.085
c1x,dot_3,11,0.085,0.106
y,dot_3,11,0.085,0.105
c2y,dot_3,11,0.1,0.114
answer,dot_3,12,0.116,0.092
x,dot_3,12,0.101,0.087
c1x,dot_3,12,0.092,0.104
y,dot_3,12,0.098,0.111
c2y,dot_3,12,0.106,0.114
answer,dot_3,13,0.107,0.099
x,dot_3,13,0.104,0.082
c1x,dot_3,13,0.108,0.105
y,dot_3,13,0.11,0.133
c2y,dot_3,13,0.106,0.113
answer,dot_3,14,0.1,0.094
x,dot_3,14,0.107,0.08
c1x,dot_3,14,0.09,0.088
y,dot_3,14,0.093,0.102
c2y,dot_3,14,0.096,0.109
answer,dot_3,15,0.104,0.069
x,dot_3,15,0.108,0.097
c1x,dot_3,15,0.069,0.104
y,dot_3,15,0.077,0.092
c2y,dot_3,15,0.097,0.114
answer,dot_3,16,0.116,0.086
x,dot_3,16,0.098,0.088
c1x,dot_3,16,0.083,0.103
y,dot_3,16,0.093,0.124
c2y,dot_3,16,0.119,0.108
answer,dot_3,17,0.116,0.088
x,dot_3,17,0.112,0.081
c1x,dot_3,17,0.099,0.111
y,dot_3,17,0.107,0.118
c2y,dot_3,17,0.118,0.108
answer,dot_3,18,0.104,0.087
x,dot_3,18,0.074,0.091
c1x,dot_3,18,0.093,0.099
y,dot_3,18,0.091,0.088
c2y,dot_3,18,0.096,0.095
answer,dot_3,19,0.083,0.094
x,dot_3,19,0.081,0.08
c1x,dot_3,19,0.123,0.125
y,dot_3,19,0.125,0.121
c2y,dot_3,19,0.081,0.096
answer,dot_3,20,0.106,0.099
x,dot_3,20,0.082,0.085
c1x,dot_3,20,0.1,0.12
y,dot_3,20,0.106,0.105
c2y,dot_3,20,0.112,0.097
answer,dot_3,21,0.12,0.12
x,dot_3,21,0.084,0.094
c1x,dot_3,21,0.123,0.139
y,dot_3,21,0.123,0.143
c2y,dot_3,21,0.122,0.117
answer,dot_3,22,0.093,0.114
x,dot_3,22,0.082,0.087
c1x,dot_3,22,0.13,0.128
y,dot_3,22,0.118,0.14
c2y,dot_3,22,0.088,0.094
answer,dot_3,23,0.108,0.117
x,dot_3,23,0.073,0.089
c1x,dot_3,23,0.085,0.101
y,dot_3,23,0.084,0.089
c2y,dot_3,23,0.106,0.094
answer,dot_3,24,0.11,0.113
x,dot_3,24,0.139,0.076
c1x,dot_3,24,0.106,0.131
y,dot_3,24,0.116,0.119
c2y,dot_3,24,0.106,0.096
answer,dot_3,25,0.09,0.112
x,dot_3,25,0.114,0.091
c1x,dot_3,25,0.095,0.109
y,dot_3,25,0.09,0.094
c2y,dot_3,25,0.083,0.093
answer,dot_3,26,0.095,0.105
x,dot_3,26,0.195,0.09
c1x,dot_3,26,0.087,0.108
y,dot_3,26,0.082,0.081
c2y,dot_3,26,0.092,0.089
answer,dot_3,27,0.098,0.098
x,dot_3,27,0.158,0.092
c1x,dot_3,27,0.108,0.119
y,dot_3,27,0.097,0.112
c2y,dot_3,27,0.104,0.091
answer,dot_3,28,0.105,0.1
x,dot_3,28,0.119,0.092
c1x,dot_3,28,0.12,0.122
y,dot_3,28,0.101,0.123
c2y,dot_3,28,0.099,0.09
answer,dot_4,0,0.195,0.195
x,dot_4,0,0.127,0.127
c1x,dot_4,0,0.045,0.045
y,dot_4,0,0.048,0.048
c2y,dot_4,0,0.188,0.188
answer,dot_4,1,0.105,0.11
x,dot_4,1,0.089,0.087
c1x,dot_4,1,0.111,0.107
y,dot_4,1,0.111,0.117
c2y,dot_4,1,0.096,0.098
answer,dot_4,2,0.094,0.11
x,dot_4,2,0.089,0.086
c1x,dot_4,2,0.136,0.122
y,dot_4,2,0.124,0.132
c2y,dot_4,2,0.093,0.107
answer,dot_4,3,0.097,0.102
x,dot_4,3,0.101,0.082
c1x,dot_4,3,0.143,0.137
y,dot_4,3,0.13,0.131
c2y,dot_4,3,0.092,0.097
answer,dot_4,4,0.115,0.1
x,dot_4,4,0.092,0.077
c1x,dot_4,4,0.147,0.129
y,dot_4,4,0.139,0.149
c2y,dot_4,4,0.108,0.109
answer,dot_4,5,0.101,0.086
x,dot_4,5,0.109,0.093
c1x,dot_4,5,0.143,0.138
y,dot_4,5,0.127,0.136
c2y,dot_4,5,0.101,0.109
answer,dot_4,6,0.108,0.098
x,dot_4,6,0.088,0.089
c1x,dot_4,6,0.114,0.119
y,dot_4,6,0.125,0.119
c2y,dot_4,6,0.105,0.095
answer,dot_4,7,0.116,0.101
x,dot_4,7,0.094,0.088
c1x,dot_4,7,0.127,0.128
y,dot_4,7,0.126,0.142
c2y,dot_4,7,0.11,0.098
answer,dot_4,8,0.084,0.077
x,dot_4,8,0.087,0.08
c1x,dot_4,8,0.103,0.115
y,dot_4,8,0.093,0.108
c2y,dot_4,8,0.084,0.081
answer,dot_4,9,0.085,0.073
x,dot_4,9,0.103,0.093
c1x,dot_4,9,0.084,0.086
y,dot_4,9,0.082,0.094
c2y,dot_4,9,0.083,0.113
answer,dot_4,10,0.095,0.09
x,dot_4,10,0.095,0.092
c1x,dot_4,10,0.075,0.089
y,dot_4,10,0.079,0.097
